Gene stable ID,Gene stable ID version,Transcript stable ID,Transcript stable ID version,Sooty mangabey gene stable ID,Sooty mangabey gene name,Last common ancestor with Sooty mangabey,Sooty mangabey homology type,%id. target Sooty mangabey gene identical to query gene,%id. query gene identical to target Sooty mangabey gene,Sooty mangabey Gene-order conservation score,Sooty mangabey Whole-genome alignment coverage,"Sooty mangabey orthology confidence [0 low, 1 high]"
ENSG00000008710,ENSG00000008710.20,ENST00000469851,ENST00000469851.1,ENSCATG00000032827,PKD1,Catarrhini,ortholog_one2one,93.888,93.9972,100,100,1
ENSG00000008710,ENSG00000008710.20,ENST00000483814,ENST00000483814.1,ENSCATG00000032827,PKD1,Catarrhini,ortholog_one2one,93.888,93.9972,100,100,1
ENSG00000008710,ENSG00000008710.20,ENST00000474088,ENST00000474088.1,ENSCATG00000032827,PKD1,Catarrhini,ortholog_one2one,93.888,93.9972,100,100,1
ENSG00000008710,ENSG00000008710.20,ENST00000475889,ENST00000475889.1,ENSCATG00000032827,PKD1,Catarrhini,ortholog_one2one,93.888,93.9972,100,100,1
ENSG00000008710,ENSG00000008710.20,ENST00000561991,ENST00000561991.5,ENSCATG00000032827,PKD1,Catarrhini,ortholog_one2one,93.888,93.9972,100,100,1
ENSG00000008710,ENSG00000008710.20,ENST00000565639,ENST00000565639.6,ENSCATG00000032827,PKD1,Catarrhini,ortholog_one2one,93.888,93.9972,100,100,1
ENSG00000008710,ENSG00000008710.20,ENST00000564865,ENST00000564865.5,ENSCATG00000032827,PKD1,Catarrhini,ortholog_one2one,93.888,93.9972,100,100,1
ENSG00000008710,ENSG00000008710.20,ENST00000564890,ENST00000564890.1,ENSCATG00000032827,PKD1,Catarrhini,ortholog_one2one,93.888,93.9972,100,100,1
ENSG00000008710,ENSG00000008710.20,ENST00000483558,ENST00000483558.5,ENSCATG00000032827,PKD1,Catarrhini,ortholog_one2one,93.888,93.9972,100,100,1
ENSG00000008710,ENSG00000008710.20,ENST00000568591,ENST00000568591.5,ENSCATG00000032827,PKD1,Catarrhini,ortholog_one2one,93.888,93.9972,100,100,1
ENSG00000008710,ENSG00000008710.20,ENST00000569983,ENST00000569983.5,ENSCATG00000032827,PKD1,Catarrhini,ortholog_one2one,93.888,93.9972,100,100,1
ENSG00000008710,ENSG00000008710.20,ENST00000483024,ENST00000483024.1,ENSCATG00000032827,PKD1,Catarrhini,ortholog_one2one,93.888,93.9972,100,100,1
ENSG00000008710,ENSG00000008710.20,ENST00000488185,ENST00000488185.2,ENSCATG00000032827,PKD1,Catarrhini,ortholog_one2one,93.888,93.9972,100,100,1
ENSG00000008710,ENSG00000008710.20,ENST00000473780,ENST00000473780.2,ENSCATG00000032827,PKD1,Catarrhini,ortholog_one2one,93.888,93.9972,100,100,1
ENSG00000008710,ENSG00000008710.20,ENST00000468674,ENST00000468674.5,ENSCATG00000032827,PKD1,Catarrhini,ortholog_one2one,93.888,93.9972,100,100,1
ENSG00000008710,ENSG00000008710.20,ENST00000469241,ENST00000469241.2,ENSCATG00000032827,PKD1,Catarrhini,ortholog_one2one,93.888,93.9972,100,100,1
ENSG00000008710,ENSG00000008710.20,ENST00000570150,ENST00000570150.1,ENSCATG00000032827,PKD1,Catarrhini,ortholog_one2one,93.888,93.9972,100,100,1
ENSG00000039139,ENSG00000039139.11,ENST00000265104,ENST00000265104.5,ENSCATG00000036141,DNAH5,Catarrhini,ortholog_one2one,97.4697,97.4697,100,100,1
ENSG00000039139,ENSG00000039139.11,ENST00000681290,ENST00000681290.1,ENSCATG00000036141,DNAH5,Catarrhini,ortholog_one2one,97.4697,97.4697,100,100,1
ENSG00000039139,ENSG00000039139.11,ENST00000683611,ENST00000683611.1,ENSCATG00000036141,DNAH5,Catarrhini,ortholog_one2one,97.4697,97.4697,100,100,1
ENSG00000039139,ENSG00000039139.11,ENST00000504001,ENST00000504001.3,ENSCATG00000036141,DNAH5,Catarrhini,ortholog_one2one,97.4697,97.4697,100,100,1
ENSG00000039139,ENSG00000039139.11,ENST00000512443,ENST00000512443.1,ENSCATG00000036141,DNAH5,Catarrhini,ortholog_one2one,97.4697,97.4697,100,100,1
ENSG00000039139,ENSG00000039139.11,ENST00000683090,ENST00000683090.1,ENSCATG00000036141,DNAH5,Catarrhini,ortholog_one2one,97.4697,97.4697,100,100,1
ENSG00000039139,ENSG00000039139.11,ENST00000684099,ENST00000684099.1,ENSCATG00000036141,DNAH5,Catarrhini,ortholog_one2one,97.4697,97.4697,100,100,1
ENSG00000039139,ENSG00000039139.11,ENST00000680213,ENST00000680213.2,ENSCATG00000036141,DNAH5,Catarrhini,ortholog_one2one,97.4697,97.4697,100,100,1
ENSG00000039139,ENSG00000039139.11,ENST00000508040,ENST00000508040.1,ENSCATG00000036141,DNAH5,Catarrhini,ortholog_one2one,97.4697,97.4697,100,100,1
ENSG00000039139,ENSG00000039139.11,ENST00000684013,ENST00000684013.1,ENSCATG00000036141,DNAH5,Catarrhini,ortholog_one2one,97.4697,97.4697,100,100,1
ENSG00000039139,ENSG00000039139.11,ENST00000683011,ENST00000683011.1,ENSCATG00000036141,DNAH5,Catarrhini,ortholog_one2one,97.4697,97.4697,100,100,1
ENSG00000039139,ENSG00000039139.11,ENST00000683967,ENST00000683967.1,ENSCATG00000036141,DNAH5,Catarrhini,ortholog_one2one,97.4697,97.4697,100,100,1
ENSG00000039139,ENSG00000039139.11,ENST00000682376,ENST00000682376.1,ENSCATG00000036141,DNAH5,Catarrhini,ortholog_one2one,97.4697,97.4697,100,100,1
ENSG00000039139,ENSG00000039139.11,ENST00000682586,ENST00000682586.1,ENSCATG00000036141,DNAH5,Catarrhini,ortholog_one2one,97.4697,97.4697,100,100,1
ENSG00000077327,ENSG00000077327.16,ENST00000376624,ENST00000376624.8,ENSCATG00000041688,SPAG6,Catarrhini,ortholog_one2one,96.0707,96.0707,100,100,1
ENSG00000077327,ENSG00000077327.16,ENST00000456231,ENST00000456231.6,ENSCATG00000041688,SPAG6,Catarrhini,ortholog_one2one,96.0707,96.0707,100,100,1
ENSG00000077327,ENSG00000077327.16,ENST00000488555,ENST00000488555.5,ENSCATG00000041688,SPAG6,Catarrhini,ortholog_one2one,96.0707,96.0707,100,100,1
ENSG00000077327,ENSG00000077327.16,ENST00000313311,ENST00000313311.10,ENSCATG00000041688,SPAG6,Catarrhini,ortholog_one2one,96.0707,96.0707,100,100,1
ENSG00000077327,ENSG00000077327.16,ENST00000435326,ENST00000435326.5,ENSCATG00000041688,SPAG6,Catarrhini,ortholog_one2one,96.0707,96.0707,100,100,1
ENSG00000077327,ENSG00000077327.16,ENST00000490361,ENST00000490361.5,ENSCATG00000041688,SPAG6,Catarrhini,ortholog_one2one,96.0707,96.0707,100,100,1
ENSG00000077327,ENSG00000077327.16,ENST00000487973,ENST00000487973.1,ENSCATG00000041688,SPAG6,Catarrhini,ortholog_one2one,96.0707,96.0707,100,100,1
ENSG00000077327,ENSG00000077327.16,ENST00000538630,ENST00000538630.2,ENSCATG00000041688,SPAG6,Catarrhini,ortholog_one2one,96.0707,96.0707,100,100,1
ENSG00000077327,ENSG00000077327.16,ENST00000376603,ENST00000376603.6,ENSCATG00000041688,SPAG6,Catarrhini,ortholog_one2one,96.0707,96.0707,100,100,1
ENSG00000080572,ENSG00000080572.13,ENST00000372453,ENST00000372453.8,ENSCATG00000001531,DNAAF6,Catarrhini,ortholog_one2one,91.1215,93.3014,100,100,1
ENSG00000080572,ENSG00000080572.13,ENST00000673764,ENST00000673764.1,ENSCATG00000001531,DNAAF6,Catarrhini,ortholog_one2one,91.1215,93.3014,100,100,1
ENSG00000080572,ENSG00000080572.13,ENST00000336387,ENST00000336387.4,ENSCATG00000001531,DNAAF6,Catarrhini,ortholog_one2one,91.1215,93.3014,100,100,1
ENSG00000080572,ENSG00000080572.13,ENST00000535523,ENST00000535523.5,ENSCATG00000001531,DNAAF6,Catarrhini,ortholog_one2one,91.1215,93.3014,100,100,1
ENSG00000102931,ENSG00000102931.8,ENST00000565794,ENST00000565794.1,ENSCATG00000042609,ARL2BP,Catarrhini,ortholog_one2one,96.9325,96.9325,100,100,1
ENSG00000102931,ENSG00000102931.8,ENST00000219204,ENST00000219204.8,ENSCATG00000042609,ARL2BP,Catarrhini,ortholog_one2one,96.9325,96.9325,100,100,1
ENSG00000102931,ENSG00000102931.8,ENST00000562023,ENST00000562023.5,ENSCATG00000042609,ARL2BP,Catarrhini,ortholog_one2one,96.9325,96.9325,100,100,1
ENSG00000102931,ENSG00000102931.8,ENST00000563234,ENST00000563234.1,ENSCATG00000042609,ARL2BP,Catarrhini,ortholog_one2one,96.9325,96.9325,100,100,1
ENSG00000105321,ENSG00000105321.14,ENST00000601154,ENST00000601154.1,ENSCATG00000023465,CCDC9,Catarrhini,ortholog_one2one,95.2919,86.4957,100,100,1
ENSG00000105321,ENSG00000105321.14,ENST00000221922,ENST00000221922.11,ENSCATG00000023465,CCDC9,Catarrhini,ortholog_one2one,95.2919,86.4957,100,100,1
ENSG00000105321,ENSG00000105321.14,ENST00000643617,ENST00000643617.1,ENSCATG00000023465,CCDC9,Catarrhini,ortholog_one2one,95.2919,86.4957,100,100,1
ENSG00000105321,ENSG00000105321.14,ENST00000599398,ENST00000599398.5,ENSCATG00000023465,CCDC9,Catarrhini,ortholog_one2one,95.2919,86.4957,100,100,1
ENSG00000105321,ENSG00000105321.14,ENST00000595659,ENST00000595659.5,ENSCATG00000023465,CCDC9,Catarrhini,ortholog_one2one,95.2919,86.4957,100,100,1
ENSG00000105321,ENSG00000105321.14,ENST00000596938,ENST00000596938.1,ENSCATG00000023465,CCDC9,Catarrhini,ortholog_one2one,95.2919,86.4957,100,100,1
ENSG00000105321,ENSG00000105321.14,ENST00000600117,ENST00000600117.1,ENSCATG00000023465,CCDC9,Catarrhini,ortholog_one2one,95.2919,86.4957,100,100,1
ENSG00000105792,ENSG00000105792.19,ENST00000389297,ENST00000389297.8,ENSCATG00000033999,CFAP69,Catarrhini,ortholog_one2one,96.8119,96.8119,75,100,1
ENSG00000105792,ENSG00000105792.19,ENST00000485791,ENST00000485791.5,ENSCATG00000033999,CFAP69,Catarrhini,ortholog_one2one,96.8119,96.8119,75,100,1
ENSG00000105792,ENSG00000105792.19,ENST00000427396,ENST00000427396.5,ENSCATG00000033999,CFAP69,Catarrhini,ortholog_one2one,96.8119,96.8119,75,100,1
ENSG00000105792,ENSG00000105792.19,ENST00000451029,ENST00000451029.5,ENSCATG00000033999,CFAP69,Catarrhini,ortholog_one2one,96.8119,96.8119,75,100,1
ENSG00000105792,ENSG00000105792.19,ENST00000497910,ENST00000497910.5,ENSCATG00000033999,CFAP69,Catarrhini,ortholog_one2one,96.8119,96.8119,75,100,1
ENSG00000105792,ENSG00000105792.19,ENST00000463311,ENST00000463311.1,ENSCATG00000033999,CFAP69,Catarrhini,ortholog_one2one,96.8119,96.8119,75,100,1
ENSG00000105792,ENSG00000105792.19,ENST00000457170,ENST00000457170.6,ENSCATG00000033999,CFAP69,Catarrhini,ortholog_one2one,96.8119,96.8119,75,100,1
ENSG00000105792,ENSG00000105792.19,ENST00000418199,ENST00000418199.1,ENSCATG00000033999,CFAP69,Catarrhini,ortholog_one2one,96.8119,96.8119,75,100,1
ENSG00000105792,ENSG00000105792.19,ENST00000475031,ENST00000475031.5,ENSCATG00000033999,CFAP69,Catarrhini,ortholog_one2one,96.8119,96.8119,75,100,1
ENSG00000105792,ENSG00000105792.19,ENST00000449577,ENST00000449577.5,ENSCATG00000033999,CFAP69,Catarrhini,ortholog_one2one,96.8119,96.8119,75,100,1
ENSG00000105792,ENSG00000105792.19,ENST00000491886,ENST00000491886.1,ENSCATG00000033999,CFAP69,Catarrhini,ortholog_one2one,96.8119,96.8119,75,100,1
ENSG00000105792,ENSG00000105792.19,ENST00000412839,ENST00000412839.5,ENSCATG00000033999,CFAP69,Catarrhini,ortholog_one2one,96.8119,96.8119,75,100,1
ENSG00000105792,ENSG00000105792.19,ENST00000445156,ENST00000445156.1,ENSCATG00000033999,CFAP69,Catarrhini,ortholog_one2one,96.8119,96.8119,75,100,1
ENSG00000106648,ENSG00000106648.14,ENST00000431418,ENST00000431418.6,ENSCATG00000040265,GALNTL5,Catarrhini,ortholog_one2one,86.9074,91.4489,100,100,1
ENSG00000106648,ENSG00000106648.14,ENST00000392800,ENST00000392800.7,ENSCATG00000040265,GALNTL5,Catarrhini,ortholog_one2one,86.9074,91.4489,100,100,1
ENSG00000106648,ENSG00000106648.14,ENST00000416062,ENST00000416062.5,ENSCATG00000040265,GALNTL5,Catarrhini,ortholog_one2one,86.9074,91.4489,100,100,1
ENSG00000106648,ENSG00000106648.14,ENST00000448366,ENST00000448366.6,ENSCATG00000040265,GALNTL5,Catarrhini,ortholog_one2one,86.9074,91.4489,100,100,1
ENSG00000106648,ENSG00000106648.14,ENST00000426341,ENST00000426341.6,ENSCATG00000040265,GALNTL5,Catarrhini,ortholog_one2one,86.9074,91.4489,100,100,1
ENSG00000106648,ENSG00000106648.14,ENST00000416269,ENST00000416269.6,ENSCATG00000040265,GALNTL5,Catarrhini,ortholog_one2one,86.9074,91.4489,100,100,1
ENSG00000106648,ENSG00000106648.14,ENST00000414073,ENST00000414073.6,ENSCATG00000040265,GALNTL5,Catarrhini,ortholog_one2one,86.9074,91.4489,100,100,1
ENSG00000106648,ENSG00000106648.14,ENST00000482845,ENST00000482845.2,ENSCATG00000040265,GALNTL5,Catarrhini,ortholog_one2one,86.9074,91.4489,100,100,1
ENSG00000106648,ENSG00000106648.14,ENST00000468278,ENST00000468278.1,ENSCATG00000040265,GALNTL5,Catarrhini,ortholog_one2one,86.9074,91.4489,100,100,1
ENSG00000106648,ENSG00000106648.14,ENST00000483959,ENST00000483959.1,ENSCATG00000040265,GALNTL5,Catarrhini,ortholog_one2one,86.9074,91.4489,100,100,1
ENSG00000106648,ENSG00000106648.14,ENST00000616416,ENST00000616416.4,ENSCATG00000040265,GALNTL5,Catarrhini,ortholog_one2one,86.9074,91.4489,100,100,1
ENSG00000111254,ENSG00000111254.8,ENST00000545990,ENST00000545990.6,ENSCATG00000010085,AKAP3,Catarrhini,ortholog_one2one,94.6073,94.1657,100,100,1
ENSG00000111254,ENSG00000111254.8,ENST00000540967,ENST00000540967.5,ENSCATG00000010085,AKAP3,Catarrhini,ortholog_one2one,94.6073,94.1657,100,100,1
ENSG00000111254,ENSG00000111254.8,ENST00000536414,ENST00000536414.3,ENSCATG00000010085,AKAP3,Catarrhini,ortholog_one2one,94.6073,94.1657,100,100,1
ENSG00000111254,ENSG00000111254.8,ENST00000541484,ENST00000541484.1,ENSCATG00000010085,AKAP3,Catarrhini,ortholog_one2one,94.6073,94.1657,100,100,1
ENSG00000111254,ENSG00000111254.8,ENST00000544636,ENST00000544636.1,ENSCATG00000010085,AKAP3,Catarrhini,ortholog_one2one,94.6073,94.1657,100,100,1
ENSG00000111254,ENSG00000111254.8,ENST00000228850,ENST00000228850.6,ENSCATG00000010085,AKAP3,Catarrhini,ortholog_one2one,94.6073,94.1657,100,100,1
ENSG00000111834,ENSG00000111834.13,ENST00000229554,ENST00000229554.10,ENSCATG00000031193,RSPH4A,Catarrhini,ortholog_one2one,95.8101,95.4103,100,100,1
ENSG00000111834,ENSG00000111834.13,ENST00000368580,ENST00000368580.4,ENSCATG00000031193,RSPH4A,Catarrhini,ortholog_one2one,95.8101,95.4103,100,100,1
ENSG00000111834,ENSG00000111834.13,ENST00000368581,ENST00000368581.8,ENSCATG00000031193,RSPH4A,Catarrhini,ortholog_one2one,95.8101,95.4103,100,100,1
ENSG00000112053,ENSG00000112053.14,ENST00000490799,ENST00000490799.6,ENSCATG00000031110,SLC26A8,Catarrhini,ortholog_one2one,88.1443,89.7167,100,100,1
ENSG00000112053,ENSG00000112053.14,ENST00000466805,ENST00000466805.5,ENSCATG00000031110,SLC26A8,Catarrhini,ortholog_one2one,88.1443,89.7167,100,100,1
ENSG00000112053,ENSG00000112053.14,ENST00000394602,ENST00000394602.6,ENSCATG00000031110,SLC26A8,Catarrhini,ortholog_one2one,88.1443,89.7167,100,100,1
ENSG00000112053,ENSG00000112053.14,ENST00000355574,ENST00000355574.6,ENSCATG00000031110,SLC26A8,Catarrhini,ortholog_one2one,88.1443,89.7167,100,100,1
ENSG00000112053,ENSG00000112053.14,ENST00000465492,ENST00000465492.1,ENSCATG00000031110,SLC26A8,Catarrhini,ortholog_one2one,88.1443,89.7167,100,100,1
ENSG00000112053,ENSG00000112053.14,ENST00000486155,ENST00000486155.1,ENSCATG00000031110,SLC26A8,Catarrhini,ortholog_one2one,88.1443,89.7167,100,100,1
ENSG00000112053,ENSG00000112053.14,ENST00000469847,ENST00000469847.5,ENSCATG00000031110,SLC26A8,Catarrhini,ortholog_one2one,88.1443,89.7167,100,100,1
ENSG00000112053,ENSG00000112053.14,ENST00000480663,ENST00000480663.1,ENSCATG00000031110,SLC26A8,Catarrhini,ortholog_one2one,88.1443,89.7167,100,100,1
ENSG00000114841,ENSG00000114841.18,ENST00000486752,ENST00000486752.5,ENSCATG00000044776,DNAH1,Catarrhini,ortholog_one2one,97.9601,97.9601,100,100,1
ENSG00000114841,ENSG00000114841.18,ENST00000420323,ENST00000420323.7,ENSCATG00000044776,DNAH1,Catarrhini,ortholog_one2one,97.9601,97.9601,100,100,1
ENSG00000114841,ENSG00000114841.18,ENST00000497875,ENST00000497875.1,ENSCATG00000044776,DNAH1,Catarrhini,ortholog_one2one,97.9601,97.9601,100,100,1
ENSG00000114841,ENSG00000114841.18,ENST00000466628,ENST00000466628.1,ENSCATG00000044776,DNAH1,Catarrhini,ortholog_one2one,97.9601,97.9601,100,100,1
ENSG00000114841,ENSG00000114841.18,ENST00000488988,ENST00000488988.5,ENSCATG00000044776,DNAH1,Catarrhini,ortholog_one2one,97.9601,97.9601,100,100,1
ENSG00000114841,ENSG00000114841.18,ENST00000490713,ENST00000490713.5,ENSCATG00000044776,DNAH1,Catarrhini,ortholog_one2one,97.9601,97.9601,100,100,1
ENSG00000114841,ENSG00000114841.18,ENST00000480649,ENST00000480649.1,ENSCATG00000044776,DNAH1,Catarrhini,ortholog_one2one,97.9601,97.9601,100,100,1
ENSG00000114841,ENSG00000114841.18,ENST00000487254,ENST00000487254.1,ENSCATG00000044776,DNAH1,Catarrhini,ortholog_one2one,97.9601,97.9601,100,100,1
ENSG00000114867,ENSG00000114867.22,ENST00000352767,ENST00000352767.7,ENSCATG00000009656,EIF4G1,Catarrhini,ortholog_one2one,98.8118,98.5037,100,100,1
ENSG00000114867,ENSG00000114867.22,ENST00000414031,ENST00000414031.5,ENSCATG00000009656,EIF4G1,Catarrhini,ortholog_one2one,98.8118,98.5037,100,100,1
ENSG00000114867,ENSG00000114867.22,ENST00000392537,ENST00000392537.6,ENSCATG00000009656,EIF4G1,Catarrhini,ortholog_one2one,98.8118,98.5037,100,100,1
ENSG00000114867,ENSG00000114867.22,ENST00000444134,ENST00000444134.5,ENSCATG00000009656,EIF4G1,Catarrhini,ortholog_one2one,98.8118,98.5037,100,100,1
ENSG00000114867,ENSG00000114867.22,ENST00000442406,ENST00000442406.5,ENSCATG00000009656,EIF4G1,Catarrhini,ortholog_one2one,98.8118,98.5037,100,100,1
